강수량,Latitude,Longitude,elevation,침수피해여부,펌프대수(대),불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢)
14.2,35.1328032,126.8969316,43.30837249755859,0.0,4.0,27.86,16.88,60.58
0.0,35.2434503,126.879012,23.95376396179199,0.0,0.0,25.52,30.49,119.46
0.0,35.1734288,126.8141243,23.6020565032959,0.0,25.0,22.06,48.99,222.05
45.7,35.0879182,126.8655494,43.27385330200195,0.0,4.0,27.86,16.88,60.58
0.0,35.1692296,126.8107744,27.19417572021484,0.0,25.0,22.06,48.99,222.05
0.0,35.1260247,126.8964143,52.62226486206055,0.0,4.0,27.86,16.88,60.58
0.0,35.1419742,126.9179447,52.88531875610352,0.0,0.0,16.8,8.19,48.74
0.5,35.1465683,126.9391347,94.5055923461914,0.0,0.0,16.8,8.19,48.74
0.0,35.1397467,126.9221934,55.11835098266602,0.0,0.0,16.8,8.19,48.74
0.0,35.0995511,126.9052151,95.7688446044922,0.0,4.0,27.86,16.88,60.58
0.0,35.1291643,126.7922257,18.43770027160645,0.0,25.0,22.06,48.99,222.05
0.0,35.1031863,126.884273,81.20155334472656,0.0,4.0,27.86,16.88,60.58
0.0,35.1876142,126.8020483,34.45516204833984,0.0,25.0,22.06,48.99,222.05
51.6,35.1713485,126.8055872,36.03364562988281,0.0,25.0,22.06,48.99,222.05
0.0,35.2110592,126.8906454,76.8626480102539,0.0,0.0,25.52,30.49,119.46
0.0,35.1716559,126.6959078,33.99221801757812,0.0,25.0,22.06,48.99,222.05
0.2,35.1466211,126.8776598,52.98472595214844,0.0,3.0,42.14,20.02,47.52
0.0,35.1181573,126.8755466,127.4863433837891,0.0,4.0,27.86,16.88,60.58
0.0,35.1553069,126.8959378,65.54194641113281,0.0,3.0,42.14,20.02,47.52
0.0,35.1467053,126.9405813,106.3448944091797,0.0,0.0,16.8,8.19,48.74
0.0,35.1640774,126.9327746,69.95506286621094,0.0,0.0,25.52,30.49,119.46
0.0,35.200338,126.9546291,69.02775573730469,0.0,0.0,25.52,30.49,119.46
2.4,35.1514617,126.8822,32.39243316650391,0.0,3.0,42.14,20.02,47.52
0.1,35.073508,126.817132,29.07514762878418,0.0,4.0,27.86,16.88,60.58
50.7,35.150094,126.8218634,16.0,0.0,25.0,22.06,48.99,222.05
2.1,35.1390565,126.9015031,54.77715301513672,0.0,4.0,27.86,16.88,60.58
1.7,35.1464953,126.9032863,48.65550994873047,0.0,4.0,27.86,16.88,60.58
0.0,35.150094,126.8218634,16.0,0.0,25.0,22.06,48.99,222.05
0.0,35.130785,126.9342185,67.8888168334961,0.0,0.0,16.8,8.19,48.74
0.0,35.1590323,126.9152388,43.71311187744141,0.0,0.0,16.8,8.19,48.74
0.0,35.1502589,126.8670646,49.01609039306641,0.0,3.0,42.14,20.02,47.52
0.0,35.1671301,126.9201859,48.77585220336914,0.0,0.0,25.52,30.49,119.46
0.0,35.1299949,126.852779,40.73563003540039,0.0,3.0,42.14,20.02,47.52
0.0,35.1497352,126.924849,56.66117858886719,0.0,0.0,16.8,8.19,48.74
0.0,35.1683712,126.8768338,26.85754776000977,0.0,3.0,42.14,20.02,47.52
0.0,35.1502589,126.8670646,49.01609039306641,0.0,3.0,42.14,20.02,47.52
0.0,35.2145938,126.7582806,45.04328155517578,0.0,25.0,22.06,48.99,222.05
0.0,35.1284743,126.9339956,68.61309814453125,0.0,0.0,16.8,8.19,48.74
0.0,35.1437409,126.8950275,61.31094360351562,0.0,4.0,27.86,16.88,60.58
0.0,35.1604063,126.8640922,28.66842269897461,0.0,3.0,42.14,20.02,47.52
0.0,35.1478454,126.8500272,22.74183464050293,0.0,3.0,42.14,20.02,47.52
0.0,35.1403185,126.8891546,39.53216934204102,0.0,4.0,27.86,16.88,60.58
0.0,35.1704996,126.9165988,45.96827697753906,0.0,0.0,25.52,30.49,119.46
0.4,35.1368718,126.7972045,18.18679809570312,0.0,25.0,22.06,48.99,222.05
0.0,35.2137341,126.7993805,34.76556777954102,0.0,25.0,22.06,48.99,222.05
27.0,35.1515796,126.9342547,74.1491928100586,0.0,0.0,16.8,8.19,48.74
0.0,35.1798962,126.9131646,52.94740295410156,0.0,0.0,25.52,30.49,119.46
0.0,35.1836458,126.8530033,20.71995544433594,0.0,25.0,22.06,48.99,222.05
0.0,35.1398529,126.9204776,56.57845687866211,0.0,0.0,16.8,8.19,48.74
0.0,35.1234363,126.8712733,94.27985382080078,0.0,3.0,42.14,20.02,47.52
0.0,35.1728141,126.807949,26.6169548034668,0.0,25.0,22.06,48.99,222.05
0.0,35.1456425,126.9275718,62.04638671875,0.0,0.0,16.8,8.19,48.74
1.0,35.1793425,126.9226082,57.6865119934082,0.0,0.0,25.52,30.49,119.46
0.0,35.1465597,126.8745708,48.37552642822266,0.0,3.0,42.14,20.02,47.52
0.0,35.1591659,126.9159472,44.56113815307617,0.0,0.0,16.8,8.19,48.74
0.0,35.1357353,126.9241961,57.75812530517578,0.0,0.0,16.8,8.19,48.74
0.0,35.1472264,126.9359777,84.19178771972656,0.0,0.0,16.8,8.19,48.74
0.0,35.1509243,126.8951239,52.01210784912109,0.0,4.0,27.86,16.88,60.58
0.0,35.1267164,126.8962606,49.18247604370117,0.0,4.0,27.86,16.88,60.58
0.0,35.1701826,126.941685,127.5763244628906,0.0,0.0,25.52,30.49,119.46
3.8,35.1715304,126.8968898,33.00242614746094,0.0,0.0,25.52,30.49,119.46
0.0,35.1503401,126.911411,48.79485321044922,0.0,0.0,16.8,8.19,48.74
25.4,35.0577807,126.7838251,13.13328647613525,0.0,4.0,27.86,16.88,60.58
